id	name	keys
5f3161b7e4b09d9a7b5f4fae	Homo_sapiens_assembly38.contam.bed	contamination_sites_bed
5f3161b7e4b09d9a7b5f4fb1	Homo_sapiens_assembly38.contam.mu	contamination_sites_mu
5f3161b7e4b09d9a7b5f4fb4	Homo_sapiens_assembly38.contam.UD	contamination_sites_ud
5f3161b7e4b09d9a7b5f4fb7	Homo_sapiens_assembly38.dbsnp138.vcf.idx	dbsnp_idx
5d9f63e9e4b03edc89a24c91	Homo_sapiens_assembly38.dbsnp138.vcf	dbsnp_vcf
5d9f63e9e4b03edc89a24c9a	1000G_omni2.5.hg38.vcf.gz	knownsites
5d9f63e9e4b03edc89a24c98	1000G_phase1.snps.high_confidence.hg38.vcf.gz	knownsites
5f3161b7e4b09d9a7b5f4fba	Homo_sapiens_assembly38.known_indels.vcf.gz	knownsites
5d9f63e9e4b03edc89a24c92	Mills_and_1000G_gold_standard.indels.hg38.vcf.gz	knownsites
5f3161b8e4b09d9a7b5f4fbd	1000G_omni2.5.hg38.vcf.gz.tbi	knownsites_indexes
5f3161b8e4b09d9a7b5f4fc0	1000G_phase1.snps.high_confidence.hg38.vcf.gz.tbi	knownsites_indexes
5f3161b8e4b09d9a7b5f4fc3	Homo_sapiens_assembly38.known_indels.vcf.gz.tbi	knownsites_indexes
5f3161b8e4b09d9a7b5f4fc6	Mills_and_1000G_gold_standard.indels.hg38.vcf.gz.tbi	knownsites_indexes
5f3161b8e4b09d9a7b5f4fc9	Homo_sapiens_assembly38.tgz	reference_tar
5f3161b8e4b09d9a7b5f4fcc	wgs_calling_regions.hg38.interval_list	wgs_calling_interval_list
5f3161b8e4b09d9a7b5f4fcf	wgs_coverage_regions.hg38.interval_list	wgs_coverage_interval_list
5d9f63e9e4b03edc89a24c9c	wgs_evaluation_regions.hg38.interval_list	wgs_evaluation_interval_list
