id	name	keys
6063901e357c3a53540ca835	1000G_omni2.5.hg38.vcf.gz	omni_resource_vcf
60639016357c3a53540ca7b1	1000G_omni2.5.hg38.vcf.gz.tbi	omni_resource_tbi
6063901c357c3a53540ca80f	1000G_phase1.snps.high_confidence.hg38.vcf.gz	one_thousand_genomes_resource_vcf
6063901e357c3a53540ca845	1000G_phase1.snps.high_confidence.hg38.vcf.gz.tbi	one_thousand_genomes_resource_tbi
60639016357c3a53540ca7b5	1000G_phase3_v4_20130502.sites.hg38.vcf	snp_sites_vcf
6063901d357c3a53540ca819	1000G_phase3_v4_20130502.sites.hg38.vcf.idx	snp_sites_idx
60639016357c3a53540ca7c7	Axiom_Exome_Plus.genotypes.all_populations.poly.hg38.vcf.gz	axiomPoly_resource_vcf
6063901d357c3a53540ca81b	Axiom_Exome_Plus.genotypes.all_populations.poly.hg38.vcf.gz.tbi	axiomPoly_resource_tbi
60639016357c3a53540ca7be	hapmap_3.3.hg38.vcf.gz	hapmap_resource_vcf
60639016357c3a53540ca7c5	hapmap_3.3.hg38.vcf.gz.tbi	hapmap_resource_tbi
5f500135e4b0370371c051b1	hg38.even.handcurated.20k.intervals	unpadded_intervals_file
5f500135e4b0370371c051b5	homo_sapiens_vep_93_GRCh38_convert_cache.tar.gz	vep_cache
60639019357c3a53540ca7e7	Homo_sapiens_assembly38.dict	reference_dict
60639014357c3a53540ca7a3	Homo_sapiens_assembly38.fasta	reference_fasta
60639016357c3a53540ca7af	Homo_sapiens_assembly38.fasta.fai	reference_fai
6063901e357c3a53540ca834	Homo_sapiens_assembly38.dbsnp138.vcf.idx	dbsnp_idx
6063901f357c3a53540ca84b	Homo_sapiens_assembly38.dbsnp138.vcf	dbsnp_vcf
6063901a357c3a53540ca7f3	Mills_and_1000G_gold_standard.indels.hg38.vcf.gz	mills_resource_vcf
6063901c357c3a53540ca806	Mills_and_1000G_gold_standard.indels.hg38.vcf.gz.tbi	mills_resource_tbi
60639017357c3a53540ca7d3	wgs_evaluation_regions.hg38.interval_list	wgs_evaluation_interval_list
